,Time,Name,Tweet_status,Text,Length,Location,polarity
19,2019-09-08 05:58:10,73rdraisin,Retweet,insult spokesperson isro  amp  shout like thug show true color elitism  arrog  amp  entitlement  tag PM this  true human  amp  nationalist one stood #isro  call someon  junior  disrespect everi indian  #ndtv,31,India,positive
20,2019-09-08 05:58:10,Sai2641,Retweet,proud isro    #isro #chandrayaan ,4,,positive
21,2019-09-08 05:58:11,h_s_Karthik,Tweet,modi came bengaluru neither visit flood affect area discuss #floodrelief visit karnataka twice day elections  shameless bjp  #   daysnovika,19,ಕರ್ನಾಟಕ,positive
22,2019-09-08 05:58:13,trishma_trivedi,Retweet,commun isn t lost  everi singl person india feel heartbeat #chandrayaan  hear whisper us  if first don t succeed  try  tri again  ,22,,positive
23,2019-09-08 05:58:13,Arjun_Singh5,Retweet,pakistan justifi  proud  scienc  amp  technolog minist doesn t know lander failed  orbit there  stuff year  btw  india dole    billion credit russia  rather beg aid #isro #vikram,27,"Ambala, India",positive
24,2019-09-08 05:58:13,Bjp_Jayesh,Retweet,those who are talk about donat by open account in the name of #isro  should know that everi project ha insur       donat is not required  It will get     crore insur immedi from isro  anyway  there ha never been a shortag of fund for isro ,44,"Mumbai, India",positive
25,2019-09-08 05:58:14,AHumbepatil,Retweet,letter #vikramlander   copi prime minist ji  chief #ksivan ji  scientist #isro fellow indian world  pleas retweet much actual reach him  jai ho  jai hind        #chandrayaan ,25,,positive
26,2019-09-08 05:58:15,mkd_ganesan,Retweet,unfolded  mission failur reported  notic pm  bodi language  sympathy  Mr PR upset  B advisor inform PM critic SM walk away  amp  groundswel support #isro C next morning  Mr PR goe back grab K sivan,34,"chennai, india.",positive
27,2019-09-08 05:58:15,Karthikasambu,Retweet,look forward hear updat regard research  intrigu interest #isro,9,"Perambur, Perambur Purasavakam",positive
28,2019-09-08 05:58:16,AJignesh1109,Retweet,india proud #isro team  kudo member isro  big salut isro  plain fall in the battlefield  what did those tilf fall on their knees  with the same enthusiasm  everi citizen of the countri is and will be with great scientists ,39,Navaratri,positive
29,2019-09-08 05:58:16,Varsha1_9,Retweet,modi ji incred distast  amp  shame see tri hog limelight amaz scientist #isro  they r real hero nation pl allow us celebr hard work without make yourself  megalomania welcome ,29,"Mumbai, India",positive
30,2019-09-08 05:58:18,aman9189,Retweet,It is good that the name of the lander wa not rahul gandhi  you would keep send signal and hi antenna would not stand onli      ,25,"Lucknow, India",positive
31,2019-09-08 05:58:18,tushar_malewar,Retweet,  we #proudindian      a big salut hardwork scientists    #chandrayan  #isro,9,,positive
32,2019-09-08 05:58:19,Xtreme1700,Retweet,humbl farmer  son isro   rocket man   incred journey K sivan sivan first graduat family  brother two sister unabl complet higher educ due poverty  #isro #chandrayaan ,25,"Mumbai, India",positive
33,2019-09-08 05:58:21,saurav_k_,Retweet,pakistan  suparco form   yr isro  yet launch indigen develop satellit earth  orbit  forget abt reach moon mars  #suparco    m #isro     b #chandrayaan       m      xsuparco #isro    xsuparco baap baap hota hai beta beta    #worthlesspakistan,33,भारत,positive
34,2019-09-08 05:58:22,robin02jan,Retweet,unit arab emir space  uae  agency  assur full support #isro follow loss contact spacecraft  #chandrayaan  land moon  india prove strateg player space sector  amp  partner develop  amp  achievements ,28,India,positive
35,2019-09-08 05:58:22,mgurav78,Retweet,pallava done isro    exactli done #isro besid munch free snack isro space centres  apolog justif rude behavior  #chandrayaan ,18,,positive
36,2019-09-08 05:58:23,Shankar44811352,Retweet,saw video ndtv  pallav bagla scream #isro scientists  yes  yes  sure get ramon magsasay award day  journalism   that  modi support hate ndtv  shame ndtv  #chandrayaan  #proudofisro #proudindian,27,,negative
37,2019-09-08 05:58:23,paveenmittal,Retweet,chandrayaan    in fact  travel         km by just     km  mean            margin  friends  we are almost successful     usa tri    times  russia tri   times  india scientist have tri     for the first time  everyon is proud of the scientist of #isro ,37,,positive
38,2019-09-08 05:58:25,bapu_sonya,Tweet,paxitan twitter  bollywood #isro  noth celebr life  realli live life  #pakistannevertri #pkmbk,12,पुण्यनगरी,positive
39,2019-09-08 05:58:26,Bhushi79,Tweet,ji    #chandrayaan     public donat onlin                                 #chandrayaan                            #scientist                #pakistan         #nuclear             financ              #chandrayaan  #isroweareproudofy #isro #isropergarvhai,14,"Mumbai, India",positive
40,2019-09-08 05:58:26,VirusPoochi,Retweet,here  exclusive  behind the scen footag mission  variou compon come togeth tell us think comment below  #chandrayaan  #gslvmkiii #isro,19,TN57,negative
41,2019-09-08 05:58:26,__Speak___,Retweet,israel follow #vikramlander  ambiti journey moon great hope  learn israel  beresheet lunar lander  never easy  yet great achiev #isro  amp  indian science  we r posit #india reach moon   amp  beyond         ,30,,positive
42,2019-09-08 05:58:27,dakhars,Retweet,                                                                 pictur defin india  defin humanity  proud sir Mr K  sivan #chandrayaan land #isro,13,,positive
43,2019-09-08 05:58:28,Dontdrop,Retweet,scienc writer  i v cover govt anti scienc current one  noth PM does  incl insincer photo op hug  chang badli govt hurt scientif tempera india  eg  #isro,27,India,positive
44,2019-09-08 05:58:28,deebee159,Retweet,mission control centre  #vikramland descent plan normal perform observ altitud     km  subsequently  commun lander ground station lost  data analyzed  #isro,20,,positive
45,2019-09-08 05:58:30,poonamchandkal9,Retweet,how mani peopl are think to put their hand on thi heart  wish the scientist could come and say that # chandrayaan   ha been contacted  #isro ji nationalist brother sister can follow,32,,positive
46,2019-09-08 05:58:33,Yaseen786md,Retweet,look close                   #isro chief                                       amp   amp  even shift anoth side keep focu face   ,13,,positive
47,2019-09-08 05:58:38,UttaraMimamsaka,Tweet,cours tri project  false  narrative  true charact  amp  mentor #chandrayaan   manned  mission  troll bust balls  even #isro scientist fail understand cues   amp  fail go along narrative  shame,27,,negative
48,2019-09-08 05:58:38,abuobeidakhalaf,Retweet,#chandrayaan  mission  #isro chief sivan announc commun lost  confirm await,10,,positive
49,2019-09-08 05:58:39,SheikhFaisal321,Tweet,regard #indian ahead us pl accept realiti tri learn research quran first vers  iqra parho  #pakistani appreci #isro effort #chandrayaan mission,21,"Lahore, Pakistan",positive
50,2019-09-08 05:58:41,TheZalam,Retweet,indian flag reject moon  #indiafail #chandrayaan l #chandrayaan  #vikramland #isro,10,,positive
51,2019-09-08 05:58:44,AlokRanjan269,Tweet,#isro #chandrayaan  proud isro  #isroscientist #chandrayaan  #indiaonthemoon #chandrayaan land #nasa #sundaythought #isromiss #isro #indiawithisro #isropergarvhai #isroweareproudofy,16,hyderabad,positive
52,2019-09-08 05:58:48,MofeezAlam1,Retweet,modi will be on the moon  modi is the broker media  in the hand of the moon modi  the broker media ha fail thi mission  then who is respons for it or what will be done by the ugandan presid bjp  broker media  what will modi  moon mission fail or nehru  #isro is weak,54,"Ranchi, Jharkhand, India.",negative
53,2019-09-08 05:58:49,Boopath10839552,Retweet,nice #kamalhaasan begin today  #biggbosstamil  encourag #isro team say proud Mr #sivan crew      #chandrayaan  #isrosivan,15,,positive
54,2019-09-08 05:58:50,bgopu1973,Tweet,coincidentally   hour tweet  verbatim tweet you       glad messag spread      ,9,"Mumbai, India",positive
55,2019-09-08 05:58:50,being_suttebaaz,Retweet,see video decid    contribut made #isro human Vs contribut #worthlesspakistan   #pakistantheslaveofindia,11,"अगरतला, त्रिपुरा, INDIA ❤️",positive
56,2019-09-08 05:58:50,Kambamwhamm,Tweet,course  think modi #isro ,4,,positive
57,2019-09-08 05:58:51,dhaval8456,Retweet,chief K #sivansir  said  hon PM word sourc inspiration  said   scienc alway results  experiments    amp  experi creat results   proud #namo  amp  #isro #sivanprideofindia #chandrayaan ,24,"Gujarat, India",positive
58,2019-09-08 05:58:54,iamkristy321,Retweet,futur project #isro        #adityal  studi sun  corona        #gaganyan send astronaut space        #chandrayaan  send indian robot        #mangalyan   nd orbit mar        #shukrayaan send orbit studi venu       #spacest india  space station,28,Here..There..Everywhere.😝,positive
59,2019-09-08 05:58:54,saydinesh,Retweet,one point  ask pre interview sivan  whether  astronauts  chandrayan    think right person cover high tech topics  #chandrayaan  #proudofisro #isro #sivan,20,"Bolton, England",positive
60,2019-09-08 05:58:55,amolckadam,Tweet,address school student chandrayan    pimpari highschool #vikramland #orbit #chandrayaan  #isro #student #educ #speech #highschool #strongmind,15,"Mumbai and Atpadi, Sangali",positive
61,2019-09-08 05:58:56,Gabbar224,Retweet,mani astronaut carri #chandrayaan   finest  amp  experienc #pallavbagla lack basic human etiquettes a primari school kid would ask better question #isro chief critic ndtv misdeeds we r lynch mob  amp  they r victim ,33,,positive
62,2019-09-08 05:58:56,PreetBhinder5,Retweet,can understand how emot thi moment will be for chief  sivan who spent hi childhood without slippers  thi tide of emot ha soak the eye of the entir india today #isro #proudofisro,32,,negative
63,2019-09-08 05:58:57,ashutos61508215,Retweet,the countri whose peopl will be readi to fund chandrayaan   in    hour    who can stop that order  #isro,18,Pune,positive
64,2019-09-08 05:58:58,SavvyPriya,Retweet,new indian express say vikram lander crash moon  add wasn t test elaborately  true  #isro lie continu contact lander    days  show someth     day modi    #modified    #chandrayaan ,26,Washington DC/ Mumbai,positive
65,2019-09-08 05:58:58,SarkarDipen,Tweet,shown world movi sports  indian unit #scienc well  thankyou make us proud mission like #chandrayaan ,15,Chennai,positive
66,2019-09-08 05:58:58,ManoharNani10,Retweet,         st countri find water moon     st launch     satellit time     st reach mar  st attempt     st reach mars      cheaper cost    st attempt soft land lunar south pole #chandrayan  #vikramland #isro #proudofisro #indiawithisro,31,,positive
67,2019-09-08 05:59:01,akashcherku,Retweet,us #isro  #indiawithisro #proudofisro   ,4,"Hyderabad, India",positive
68,2019-09-08 05:59:03,RvoSandeep,Tweet,support nehru give kashmir pakistan    give china nehru respons isro  die      #isro foundat happen       librandua like nehru may time travel  har har mahadev  ,23,Bharat,positive
69,2019-09-08 05:59:04,hiteshbhalani19,Retweet,india cover            km reach moon countri dare reach pakistan can t even cross wagah boarder sinc last     yrs    aur fir bhi bakchodi     #chandrayaan  #isro,24,"Surat, India",positive
70,2019-09-08 05:59:04,NithishYuvraj,Retweet,obstacl part everi journey aim achiev someth phenomenal  join entir nation applaud great work done scientist #isro take us step closer moon  you v hearts  kudo efforts   #proudofisro #chandrayaan ,29,India,positive
71,2019-09-08 05:59:05,YtharthC,Retweet,the emot moment of center in bengaluru  dr  K sivan  presid of #isro  got emot by the prime minist hug and comfort,22,BHARATVARSH,negative
72,2019-09-08 05:59:07,samikshaa3,Retweet,think hug heart broken chairman group hug billion plu people  fine gesture  needed  criticis politicis even deni transcendent moment countri unit one #isro,23,Noida,positive
73,2019-09-08 05:59:08,giliyar,Retweet,pathet low level journal ndtv journo pallava bagla waa clueless question isro chief K sivan  see attitud  amp  tone  shout  amp  insult #isro scientist brief press   #chandrayaan  #proudindian #proudofisro #pallavbagla #ndtv,31,Hyderabad,positive
74,2019-09-08 05:59:10,tiru_2000,Retweet,due respect ur age i m sorri khangress  amp  dynasti boot licker talk slay ur prez  ,16,,negative
75,2019-09-08 05:59:11,Yasirmcheema,Retweet,instead accept fact #isro leagu ahead #pakistan space capabilities  we v small men high offic mock failures  learn noth  amp  of cours noth bridg gap  fact #india fail  amp  we r not  keep night ,34,"Wazirbad, Pakistan",negative
76,2019-09-08 05:59:11,prabhak47974192,Retweet,modiji cri for #isro and cri over the death of terrorist in italian barbala batla house  understand the differ between a patriot and a traitor # chandrayan ,27,,positive
77,2019-09-08 05:59:11,JunedJamadar10,Tweet,shahswar fall in maidan e jung  what will that tiffel fall on your knees  #isro salut caliber  dedic courage  made us proud    #proudofisro,23,"Sangli-Miraj Kupwad, India",positive
78,2019-09-08 05:59:15,Abdussa52634671,Tweet,pretend is a business  the recess is hit  thi hag is useless ,12,,negative
79,2019-09-08 05:59:16,ashish260290,Tweet,If failed  one day it will also be successful  thi is chandrayaan    no rahul gandhi  # chandrayaan  #isro #pmoindia,19,,positive
80,2019-09-08 05:59:17,Sonia1421__,Tweet,destini destin someth better ways    proud #isro,7,Sweet Home India ,positive
81,2019-09-08 05:59:18,SandeepKaul13,Tweet,#pkmkb apn desh ek simpl pen manufactur nhi kr skte hamar scientist #isro ka mazak udat hai    #proudofisro,18,"Bhopal, India",positive
82,2019-09-08 05:59:18,JitendraNaruk12,Retweet,you are the moon  you will show your tantrums  thi  india  will come back to you  #isro countri is proud of you   ,22,,positive
83,2019-09-08 05:59:19,Sandeep_Pinu,Tweet,realli proud speak him  congratulations  kind,6,India,positive
84,2019-09-08 05:59:19,8Dilip,Retweet,nice made  hat #isro      #chandrayaan  #isropergarvhai,6,India,positive
85,2019-09-08 05:59:23,mukeshnt,Tweet,   get board exams  space research      excellent  #isro deserv congratulatori messag across globe  btw  project conceiv       record,16,"Mumbai, India",positive
86,2019-09-08 05:59:23,HasrshSharma,Tweet,congratul sir heartili u best luck mission,7,"Rajasthan, India",positive
87,2019-09-08 05:59:24,Ajaykalse1,Retweet,dear indian see tweet scienc  amp  technolog minist  amp  dgispr #chandrayaan  worri bomb us back stone age ourself capabl job  #indiawithisro #isro #proudofisro,23,"Bidar, India",positive
88,2019-09-08 05:59:24,RAVIKISHANCHAU6,Retweet,failur science  power #isro  great countri greater scientif achievements  warm gestur hon bl PM consoling  patting  hug  amp  congratul #isro chief #ksivan gener  amp  scientist particular extrem,27,Bhagalpur Bihar India,positive
89,2019-09-08 05:59:24,KapilCh87670539,Tweet,brother ha won heart           ,4,,positive
90,2019-09-08 05:59:26,UChurasia,Retweet,emot moment are still a flight of spirit          PM embrac and becom chief  emotional  PM modi dare to pat #isro chief,21,"Deoria, India",positive
91,2019-09-08 05:59:28,MukeshB77829936,Retweet,PM address to the nation after break contact with #vikramland live # chandrayaan  #isro,14,"Kuchaman City, India",positive
92,2019-09-08 05:59:30,ModifidBhaaarat,Retweet,Do you know that on  chandrayaan mission    onli rs       per person  the cost of the hotel bread is more than that  modi ji open an account and prepar for # chandrayaan   We indian citizen will eat less than   roti but want to see the flag of india on the tricolor moon  #isro,52,,positive
93,2019-09-08 05:59:31,amolgw,Tweet,work   organis forgeri master  dual employ like corpor espionag know  he might stole technolog #isro  anoth matter investig #ndtv,19,pune,positive
94,2019-09-08 05:59:31,iminjurious,Retweet,proud everyon #isro team  setback part journey  without them  success  whole nation stand believ you ,15,India,positive
95,2019-09-08 05:59:32,Boopath10839552,Retweet,retweet #proudofisro    stand you  salut you  indians  #indiawithisro #isro,9,,positive
96,2019-09-08 05:59:32,Mahekstar240,Retweet,As soon as the cloud of despair clears  there will sure be a rain of success  #     of isro success is enough for us to rais our head proudly  As expected  we have full confid in the abil of our scientist that they will quadrupl the happi of the nation by return thi    reduct with interest  #isro,57,,positive
97,2019-09-08 05:59:35,sswapnika__,Retweet,never forget moment     tri never give up  #jayhind     #isro #isromiss,10,बैंगलोर,positive
98,2019-09-08 05:59:38,Divyansh5Sharma,Retweet,isro releas statement  said  mission     successful  orbit will work for   year # chandrayaan  #isro #ksivan,15,,positive
99,2019-09-08 05:59:41,DarshanBhatt22,Retweet,RT want this     happen soon  #chandrayaan  #chandrayaan  #isro #isropergarvhai #proudofisro,10,"Gandhinagar, India",positive
100,2019-09-08 05:59:41,aku_ini08,Retweet,time social media brag strength success import teach next gen weak failures  learn defeat realli lost  proud #isro ,18,,positive
101,2019-09-08 05:59:43,YtharthC,Retweet,#nasa also prais the scientist of #isro  said that we got inspir from isro and we will jointli explor space later  here some foolish peopl in our countri are make fun of isro by take inspir from pakistan  A few day ago I becam an economist and now I becam a scientist ,52,BHARATVARSH,positive
102,2019-09-08 05:59:44,neon_om,Retweet,stay strong  proud team  work inspir leadership outstand nation support  togeth strive more      #spaceishard,14,India,positive
103,2019-09-08 05:59:44,gopalmali5052,Retweet,hey bakistan  countri earn live breed donkey export china men slave arabia  need think twice mock india  space program #isro  go mind goats  ok ,24,,positive
104,2019-09-08 05:59:47,Raglak009,Retweet,one truli consid young realli free nation   that fact space mission all    and level   i mindboggl achievement  #isro nation stand behind beam pride ,23, India,positive
105,2019-09-08 05:59:48,questionsaglore,Retweet,nation await reviv commun #vikramlander  proud hard work everyon #isro feat achiev #chandrayaan  exemplary ,14,,positive
106,2019-09-08 05:59:49,Bharat88470499,Retweet,connect vikram lost not relentless spirit  here  hard work th overcom everi obstacl never give attitud alway exhibited  #isro kudo make dare attempt don t lose hope #humhongekamyab  #aajlikhengek,29,,negative
107,2019-09-08 05:59:50,Londa_deshi,Tweet,congratul babi girl    i m tell one thing    beggar keep ur limit    tum jitna duniya se bhikh mangt ho utna hamar yahan ek #isro ka project hota hai,28,"New Delhi, India",positive
108,2019-09-08 05:59:53,DhavalHR,Tweet,alway positive      never loos hopes     #isro #chandrayaan ,7,India,positive
109,2019-09-08 05:59:55,Patrioticparro2,Retweet,proud #isro,2,,positive
110,2019-09-08 05:59:56,Mr_Riz110,Retweet,moon lander human #isro lost commun humans  mayb would realis feel rel #kashmir lose contact one cri machin would die tear human,22,"Riyadh, KSA",positive
111,2019-09-08 05:59:56,lok367,Retweet,If you have satisfact insid you  you are the richest  you are the peace  then you are the happiest  have mercy  you are a veri good person  chandrayan  #goodmorn,29,बाॅसगाॅव ,positive
112,2019-09-08 05:59:56,murthy_sowjanya,Retweet,excel messag nasa recognis isro  achievement  wonder india soon leader space power tight slap within  amp  outsid country  ridicul india  amp  underestim scientists  capabl proud moment indian    #isro,28,,positive
113,2019-09-08 05:59:57,myshaahmed007,Retweet,#paf plaaf joint exercis #shaheenviii kick   rd august       #china  paf pilot particip j   b plaaf pilot gib seen mirag cockpit        #isro #indiafaild #chandrayaan  #pakistanairforc,24,"Army is my Family, My Home, My Life",positive
114,2019-09-08 05:59:58,ManiShankarTri1,Retweet,Be readi chamchon barnol   mission can come from chandrayaan    the heart break news #isro #isropergarvhai # chandrayaan land,18,"uttar Pradesh, India",positive
115,2019-09-08 05:59:58,AditiSinghxD,Retweet,pallava bagla one finest  experienc journalist field  passion scienc reflect bodi work years  apologis happen today  join lynch mob demand sack uncal,22,India,positive
116,2019-09-08 05:59:58,ani0786l,Tweet,Yo man  keep move sir whole nation look twrd u  U r proud    ,13,Nature,positive
117,2019-09-08 05:59:58,Uswa_Malik,Retweet, sir  accident land kashmir  lost communication  ,6,Novorepnoye ,positive
118,2019-09-08 06:00:00,Saurav75301358,Retweet,It is our tradit and our valu   to continu move toward the goal without be disappoint by the results  #isro itself is a live exampl of a never give up culture  I and the countri are proud of the effort of our scientists  engineers  I am with you and the countri is also with you  PM,56,"Karsog, India",positive
119,2019-09-08 06:00:01,SagarKa43186365,Retweet,india send vehicl moon  pakistan send goat mountain ,8,,positive
120,2019-09-08 06:00:01,RajTiwa56444261,Retweet,upcom #isro missions   gt  astrosat  gt  aditya L  mission  gt  gaganyaan mission  gt  mangalyaan    gt  chandrayaan   try  never give #jayhind   ,20, हिन्दुस्तान ,positive
121,2019-09-08 06:00:02,RajRohit125,Retweet,    number wa expect to come     so whi are we sad  celebr    sorrow or     joy  We will be happi #isro # chandrayaan  #isropergarvhai #vikramland,23,"kurwai,MP",positive
122,2019-09-08 06:00:02,mazingabhay23,Tweet,thank fr make us proud     #isropergarvhai,6,New Delhi,positive
123,2019-09-08 06:00:07,pvjvatsa,Retweet,case  journo sit next #pallavabagla #isro would done  #ndtv #ndtvwithpakistan #ksivan #chandrayaan ,12,"Kolkata, India",positive
124,2019-09-08 06:00:08,sirindrakumar,Tweet,#isro #isropergarvhai #isromiss #isro         #isroweareproudofy,5,"Mumbai, India",positive
125,2019-09-08 06:00:08,Mahekstar240,Retweet,day world media notic indian space mission  hat off  isro  #isro,11,,positive
126,2019-09-08 06:00:09,LustyShona,Retweet,they are do real work  cabbag and pakora are just their own    #isro,13,,positive
127,2019-09-08 06:00:09,Pyhu008,Tweet,jai hind    salut member #isro,5,"Alwar, India",positive
128,2019-09-08 06:00:13,RajRohit125,Retweet,india will be on the moon tonight  let  play a game  tell us your guess  hh  mm  ss  to touch the lunar surfac of the lander vikram  If you are      correct  then your handl will get a place on aaj tak  page  condit apply  must be told befor   pm    september  # chandrayaan  #yourspac #namastemoon #isro,55,"kurwai,MP",negative
129,2019-09-08 06:00:13,Michal12873314,Retweet,#sexi #smoke #eleg #indiafail #ripmacmil #biggbosstamil  #isro #antoniobrown #macmil #engvau #ladycocacola #smokingfetish,12,"Łódź, Polska",positive
130,2019-09-08 06:00:15,buralp_p,Tweet,#        #         #               #isro retweet plz      #messi #maroc #shethenorth #jokermovi #antoniobrown #    ,12,,positive
131,2019-09-08 06:00:16,AiswaryaRvr,Retweet,space scienc someth never cross mind #sivan  brilliant student would work field alongsid father  hard work got scholarship mit  cours taken apj abdul kalam    yr him  #isro #chandrayaan ,28,,positive
132,2019-09-08 06:00:16,Prabakarsuganya,Retweet,proud team sir  simpl achiev done    great achievement   thank #isro team    #isromiss,12,Singapore,positive
133,2019-09-08 06:00:17,Pravika16,Retweet,chandrayaan  rise fill us pride honour  maintain faith capabilities  proud isro  #proudofisro #isro #isropergarvhai #chandrayaan ,15,"Nashik, India",positive
134,2019-09-08 06:00:19,hppy_vipin,Retweet,salut team chandrayaan   make nation proud  it  resolv tread anywher take us far beyond  #treadanywhereisro #chandrayaan  #isro #vikramland #moonmiss,19,New Delhi,positive
135,2019-09-08 06:00:20,chintztoo,Retweet,futur project #isro           #adityal  studi sun  corona         #gaganyan send astronaut space         #chandrayaan  send indian robot         #mangalyan   nd orbit mars         #shukrayaan send orbit studi venus        #spacest india  space station ,28,"The Hague, The Netherlands",positive
136,2019-09-08 06:00:24,ZeeBollywood,Retweet,connect vikram lost not relentless spirit  here  hard work th overcom everi obstacl never give attitud alway exhibited  #isro kudo make dare attempt don t lose hope #humhongekamyab  #aajlikhengek,29,India,negative
137,2019-09-08 06:00:23,SaeedAh17156133,Retweet,india  rock tri land moon  tri again  grace god succeed                                                       #chandrayan  #isro,12,,positive
138,2019-09-08 06:00:25,glorifiedlawyer,Tweet,which launda goe to the matern uncl and walk at the behest of the parents  must be have fun # chandrayaan  #isro #sivan,23,,positive
139,2019-09-08 06:00:27,87Baidya,Retweet,Dr K sivan entir team present  amp  past strive incred effort  bit slip cup lip i m sure brilliant scientist relentless dedic persever  amp  get us moon  jai hind   sg #chandrayaan  #isro,32,"Kolkata, West Bengal",positive
140,2019-09-08 06:00:29,siya_ratti,Retweet,proud #isro proud   ,3,"Los Angeles, CA",positive
141,2019-09-08 06:00:29,Rishi98271890,Retweet,proud #isro failur final  abil take step forward step toward success  kudo PM ji  true leader  present person buck moral scientist  ,21,,positive
142,2019-09-08 06:00:30,shreyasmahajan1,Retweet,keep move forward  nation capabl opportun india  includ thailand  inspir isro  achievem date  amp  futur achiev come  jai hind ,19,"Pune, Maharashtra,India",positive
143,2019-09-08 06:00:31,2much_2digest,Tweet,wow   love tweet  could deciph this  simpl words  #porkistan,9,India,positive
144,2019-09-08 06:00:31,eodishaorg,Tweet,lawyers  day odisha daili out  stori via #chandrayaan land #isro,10,Odisha,positive
145,2019-09-08 06:00:32,srahul13s,Tweet,moon nasa welcom america moon roscosmo welcom russia moon cnsa welcom china moon jaxa welcom japan moon spaceil i ll wait israel moon #isro i ll wait india moon suparco auqaat nahi hai tumhari,34,,positive
146,2019-09-08 06:00:33,tridib_bordoloi,Tweet,failur establish contact vikram may turn biggest find #chandrayan   someth close south pole surfac interfer signals  analysi data receiv orbit would reveal throw light mysteri #isro,26,New Delhi (India),positive
147,2019-09-08 06:00:33,AmitCha22818525,Retweet,one is the chairman of isro  who ha taken over all the respons and is the chairman of a bank  who doe not even take respons for the loss incur by hi decis and all the money is spent on the common bank personnel  not revis hi salary  do overtime    bank execut need learn frm #isro,56,,negative
148,2019-09-08 06:00:35,rakesh19943,Tweet,believ it or not but till date rohit sardana  anjana Om kashyap and sveta singh are the three daughter of all three  #isro # chandrayan  ,25,,positive
149,2019-09-08 06:00:35,EshaanSyed,Retweet,hey team #isro sad  love proud guys  learn failures  love you  all  ,12,"Rewa, India",positive
150,2019-09-08 06:00:36,Rohtash29719852,Retweet,#isro first de orbit maneuv #vikramland #chandrayaan  spacecraft perform success today  septemb                hr ist  detail pleas visit here  view control centr istrac  bengaluru,23,,positive
